app_name,helm_truechart,storage_name,storage_enabled,storage_path,storage_subPath,storage_server,storage_type,storage_mountPath,nw_master_nic,nw_mac,nw_address_with_subnet,nw_gateway,nw_dns1,nw_dns2,run_as_user,run_as_group,privileged,extra_helm_values
home-assistant-building1,home-assistant,config,true,/mnt/kube-volumes/home-assistant/building1,data,10.10.4.5,nfs,/config,eth0,00:14:51:5b:69:3a,10.99.0.2/24,10.99.0.1,1.1.1.1,8.8.8.8,0,0,true,--set cnpg.main.enabled=false --set configmap.init.enabled=false --set persistence.init.enabled=false --set workload.main.podSpec.initContainers.init.enabled=false
mosquitto-building1,mosquitto,data,true,/mnt/kube-volumes/mqtt,data,10.10.4.5,nfs,/mosquitto/data,,,,,,,,,,
mosquitto-building1,mosquitto,mosquitto-config,false,,,,,,,,,,,,,,,
mosquitto-building1,mosquitto,configinc,false,,,,,,,,,,,,,,,
mosquitto-building1,mosquitto,config,true,/mnt/kube-volumes/mqtt,config,10.10.4.5,nfs,/mosquitto/config,eth0,00:14:51:c0:84:52,10.99.0.4/24,10.99.0.1,1.1.1.1,8.8.8.8,,,,
zigbee2mqtt-building1-c1,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building1/c1,data,10.10.4.5,nfs,/data,eth0,00:14:51:aa:4e:98,10.99.0.11/24,10.99.0.1,1.1.1.1,8.8.8.8,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
home-assistant-building2,home-assistant,config,true,/mnt/kube-volumes/home-assistant/building2,data,10.10.5.5,nfs,/config,eth1,00:14:51:b1:d3:42,10.99.1.2/24,10.99.1.1,1.1.1.1,8.8.8.8,0,0,true,--set cnpg.main.enabled=false --set configmap.init.enabled=false --set persistence.init.enabled=false --set workload.main.podSpec.initContainers.init.enabled=false
mosquitto-building2,mosquitto,data,true,/mnt/kube-volumes/mqtt,data,10.10.5.5,nfs,/mosquitto/data,,,,,,,,,,
mosquitto-building2,mosquitto,mosquitto-config,false,,,,,,,,,,,,,,,
mosquitto-building2,mosquitto,configinc,false,,,,,,,,,,,,,,,
mosquitto-building2,mosquitto,config,true,/mnt/kube-volumes/mqtt,config,10.10.5.5,nfs,/mosquitto/config,eth1,00:14:51:8f:e0:9e,10.99.1.4/24,10.99.1.1,1.1.1.1,8.8.8.8,,,,
zigbee2mqtt-building2-c1,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building2/c1,data,10.10.5.5,nfs,/data,eth1,00:14:51:43:8b:ee,10.99.1.11/24,10.99.1.1,1.1.1.1,8.8.8.8,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
home-assistant-building3,home-assistant,config,true,/mnt/kube-volumes/home-assistant/building3,data,10.10.6.5,nfs,/config,eth2,00:14:51:8e:71:a2,10.99.2.2/24,10.99.2.1,1.1.1.1,8.8.8.8,0,0,true,--set cnpg.main.enabled=false --set configmap.init.enabled=false --set persistence.init.enabled=false --set workload.main.podSpec.initContainers.init.enabled=false
mosquitto-building3,mosquitto,data,true,/mnt/kube-volumes/mqtt,data,10.10.6.5,nfs,/mosquitto/data,,,,,,,,,,
mosquitto-building3,mosquitto,mosquitto-config,false,,,,,,,,,,,,,,,
mosquitto-building3,mosquitto,configinc,false,,,,,,,,,,,,,,,
mosquitto-building3,mosquitto,config,true,/mnt/kube-volumes/mqtt,config,10.10.6.5,nfs,/mosquitto/config,eth2,00:14:51:7a:35:43,10.99.2.4/24,10.99.2.1,1.1.1.1,8.8.8.8,,,,
zigbee2mqtt-building3-c1,zigbee2mqtt,data,true,/mnt/kube-volumes/zigbee2mqtt/building3/c1,data,10.10.6.5,nfs,/data,eth2,00:14:51:bd:be:29,10.99.2.11/24,10.99.2.1,1.1.1.1,8.8.8.8,0,0,,--set workload.main.podSpec.initContainers.init-config.enabled=false --set containers.main.env.USE_CUSTOM_CONFIG_FILE=true
